country,continent,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
대한민국,korea,"5,508,242","6,084,476","7,123,407","7,086,133","8,825,585","10,080,143","11,609,879","13,324,977","11,996,094","9,494,111","12,488,364","12,693,733","13,736,976","14,846,485","16,080,684","19,310,430","22,383,190","26,496,447","28,695,983","26,371,937"
일본,asia,"1,064,390","1,133,971","1,271,835","1,459,333","1,588,472","1,747,171","2,117,325","2,600,694","2,382,397","1,586,772","2,439,816","1,658,073","2,042,775","2,456,165","2,755,313","4,002,095","5,090,302","7,140,438","7,538,952","5,337,615"
중국,asia,"1,344,721","1,678,836","2,124,310","1,945,500","2,844,893","3,545,341","3,923,986","4,776,752","3,960,392","3,197,500","4,076,400","4,185,400","4,069,900","3,968,998","4,181,700","4,444,389","4,762,163","3,854,869",,
베트남,asia,-,-,-,-,"232,995","317,213","421,741","475,535","449,237","362,115","495,902","536,408","700,917","748,727","832,969","1,152,349","1,543,883","2,415,245","3,435,406","3,866,066"
태국,asia,"448,207","553,441","717,361","695,034","910,891","816,407","1,092,783","1,083,652","888,344","618,227","805,445","1,006,283","1,163,619","1,295,342","1,116,493","1,372,989","1,464,218","1,717,867","1,796,615","1,706,215"
필리핀,asia, - , - , - , - ,"378,602","489,465","572,133","653,310","611,629","497,936","740,622","925,204","1,031,155","1,165,789","1,175,472","1,339,678","1,475,081","1,607,821","1,608,529","1,607,172"
홍콩,asia,-,-,"457,438","368,176","539,190","642,480","718,758","876,231","904,320","618,694","891,024","1,020,996","1,078,458","1,083,543","1,251,047","1,243,293","1,392,367","1,487,670","1,421,411","1,009,153"
대만,asia,"83,729","85,744","83,624","92,893","148,095","182,517","196,260","225,814","252,266","167,641","216,901","242,902","259,089","351,301","527,684","658,757","884,397","1,054,380","1,019,122","1,081,931"
마카오,asia,-,"48,274","50,447","38,281","65,631","120,739","162,709","225,417","279,794","204,767","331,768","398,807","444,773","474,269","554,521","554,144","662,263","874,253","812,842","696,123"
싱가포르,asia,-,-,-,-,"360,870","364,192","454,661","463,610","423,011","271,982","360,615","414,879","445,157","471,768","536,975","577,082","566,503","631,297","629,451","543,757"
말레이시아,asia,-,-,-,-,"91,270","158,177","189,464","224,867","267,461","227,312","264,052","263,428","283,977","274,622","385,769","421,161","444,439","484,528","616,783","508,080"
인도네시아,asia,"181,032","211,220","218,155","190,630","246,545","263,356","298,228","337,246","331,409","260,314","296,060","320,596","328,989","351,154","328,122","353,729","343,887","423,191","358,885","322,486"
캄보디아,asia, - , - , - , - , - , - ,"285,353","329,909","266,525","197,725","289,702","342,810","411,491","435,009","424,424","395,259","357,194","345,081","301,770",
라오스,asia,-,-,-,,"7,274","9,189","10,963","13,060","18,065","17,876","27,312","34,707","53,829","81,799","96,085","165,328","173,260","170,571","174,405",
터키,asia,-,-,-,-,-,-,-,-,"119,500","89,148","123,315","149,943","159,084","187,040","248,654","222,580","106,904","120,622","159,354","169,411"
인도,asia,"23,411","27,150","29,374","35,584","47,835","49,895","70,407","84,583","79,802","70,485","95,587","108,680","109,469","112,619","106,870","102,993","111,076","142,383",,
몽골,asia,-,-,-,-,-,"30,787","39,930","32,273","43,396","27,189","42,231","43,994","44,360","45,178","45,476","47,213","57,587","74,921","86,013","29,881"
미얀마,asia,-,-,-,-,-,-,"18,265","13,821","12,369","12,508","18,930","22,524","34,805","54,934","58,472","63,715","64,397","65,829","72,852","91,869"
이스라엘,asia,-,-,-,-,"18,503","25,888","28,035","33,836","37,601","20,900","38,300","31,800","32,200","28,000","21,700","22,600","28,300","40,300","45,600",
몰디브,asia,-,-,-,-,-,-,"16,157","20,976","20,934","16,126","24,808","25,285","23,933","30,306","34,896","33,001","29,580","34,808","34,400","29,590"
스리랑카,asia,-,-,-,-,-,-,"5,298","4,870","4,300","3,695","4,426","5,485","7,838","12,207","13,412","14,373","14,520","15,963","15,748","10,718"
사이프러스,asia,171,327,146,25,12,51,48,133,0,60,143,290,81,0,77,38,167,,,
부탄,asia,-,-,-,-,10,61,60,172,97,49,182,407,630,596,858,640,"1,035","6,048",,
요르단,asia,-,-,-,-,-,"13,200","17,499","21,238","20,896","11,191","18,833","18,683","14,479","14,270","15,366","11,521","10,671","15,660",,
네팔,asia,-,-,-,-,"3,189","5,475","7,002","12,513","12,556","11,792","15,151","17,495","18,544","12,039","11,475","18,112",,,,
예멘,asia,-,-,-,-,-,-,-,"1,242","1,053",-,-,-,,,,,,,,
독일,europe,"75,539","85,805","111,226","114,158","130,888","137,260","152,319","160,868","143,439","125,096","144,450","172,866","208,108","228,865","254,332","296,900","318,330","367,172","309,548",
오스트리아,europe,"23,636","23,789","27,876","41,328","46,181","57,492","80,492","92,559","79,928","59,351","77,560","106,359","134,856","182,442","234,557","277,032","273,477","309,211","319,932","289,308"
영국,europe,"111,000","81,000","92,000","109,000","138,000","149,000","153,000","157,000","128,000","75,000","115,000","140,000","169,100","208,886","210,728","237,363","208,413","207,550","187,466","72,760"
슬로베니아,europe,,,,,,,,,"6,367","5,120","6,604","11,532","16,329","23,224","61,702","92,021","112,920","148,014","136,706",
러시아,europe,,,,,,"111,221","110,788","124,785","101,304","84,166","90,622","91,335","94,922","107,942","135,676","139,376","161,267","253,764",,
보스니아 헤르체고비나,europe,,,,,,,,,,,,,,"11,592","27,475","29,974","43,455","52,054","40,863",
핀란드,europe,,,,,"15,418","13,544","15,655","12,159","10,602","7,450","9,578","12,446","13,609","15,855","16,314","18,835","22,948",,,
슬로바키아,europe,,,,,,,,,,"17,580","23,419","27,176","27,458","13,448","17,746","17,737","19,394","19,086","15,701","2,477"
마케도니아,europe,,,,,,,,,,,686,"1,070","1,179","1,795","3,364","3,704","2,932","4,415","3,246","2,245"
세르비아,europe,,,,,,,,,,,,,,"1,516","3,110","1,845","3,217","4,359","3,311","2,589"
스웨덴,europe,,,,,"15,376","16,599","23,560","19,575","20,598","19,153","26,444","29,143","27,952","31,203","1,355",,,,,
리히텐슈타인,europe,,,,,97,130,134,145,95,49,71,87,83,90,89,95,207,,,
조지아,europe,,,,,,238,432,651,536,662,935,"1,419","1,762","2,433","2,189",,,,,
산마리노,europe,,,,,,,,,,,,50,64,11,,,,,,
남아프리카공화국,africa,-,-,-,-,"13,312","14,815","16,798","20,456","20,285","14,406","17,519","18,290","19,817","16,879","12,846","13,561","18,840","22,173","21,868","10,687"
모리셔스,africa,,,,,,,,,,,,,"2,651","2,778","3,182","3,494","6,025","6,858","7,204","6,313"
스와질랜드,africa,-,-,-,-,-,809,860,"1,225",799,"1,131","1,136","1,254",986,"1,614","2,124","2,315","2,300","1,905","2,032","1,578"
세이쉘,africa,62,31,21,25,8,30,50,116,91,84,214,472,748,916,"1,074","1,371","1,658","1,562","1,435",927
짐바브웨,africa,-,-,-,"6,460","6,514","3,209","5,424","6,597","8,209","13,043","6,449","12,258","7,796","8,463","5,273","5,322",,,,
우간다,africa,,,,,,,,,,,,"1,658",,,0,0,,,,
시에라리온,africa,,,,,,,,,,,,,302,115,0,0,,,,
미국,america,-,-,-,"617,573","626,595","705,093","757,721","806,175","759,394","743,846","1,107,518","1,211,197","1,295,069","1,437,924","1,473,365","1,775,456","1,982,516","2,334,839","2,210,597","1,898,158"
캐나다,america,-,-,-,-,"190,982","191,319","201,815","212,602","196,564","144,141","169,953","155,683","150,611","158,523","183,770","204,741","254,759","301,476","253,236","179,846"
브라질,america,-,-,-,"19,498","21,353","24,315","30,359","39,749","42,365","24,140","30,859","44,630","49,989","44,339","45,522","50,725","50,312","42,997","33,845",
도미니카 공화국,america,197,381,518,822,739,968,"1,436","2,318","2,049","2,005","2,468","2,427","2,313","2,566","1,860","1,811","2,423","2,689","2,865","3,038"
자메이카,america,,227,219,179,213,182,178,238,211,291,375,477,350,369,425,426,370,390,308,352
과테말라,america,,,,,,,"10,302","12,019","10,373","9,361","8,810","9,288","8,257","8,182","9,850","8,140",,,,
칠레,america,,,,,,,,,"7,856","6,582","6,541","9,808","11,030","10,766","12,631","16,379","11,412",,,
코스타리카,america,,,,,,"3,238","2,703","2,966","2,697","2,724","3,236","3,311","3,437","3,482","3,952","2,156",,,,
파나마,america,,,,,,,,,,,,,"4,511","3,780","3,880","5,100",492,,,
페루,america,-,-,-,-,"5,779","6,705","7,699","8,878","9,840","7,824","10,157","12,059","13,318","14,000","12,915",,"7,579",,,
멕시코,america,-,-,-,-,-,-,-,-,-,-,"34,965","40,303","47,615","59,249","75,090","95,434",,,,
에콰도르,america,,,,,,,,,,,549,439,419,286,,,,,,
호주,oceania,-,-,-,-,"211,800","250,500","260,900","253,200","218,300","181,000","214,000","198,000","196,800","197,500","204,500","230,000","280,100","301,800","288,000","203,400"
북마리아나 제도,oceania,-,-,-,-,"68,192","69,952","82,891","108,319","111,116","89,132","115,773","107,503","129,394","139,958","142,081","182,622","228,156","334,767","240,577","123,058"
뉴질랜드,oceania,-,-,-,-,"113,908","112,005","111,361","99,453","79,061","52,921","67,309","52,787","52,896","50,992","55,488","64,992","82,384","91,168","87,853","67,163"
팔라우,oceania,586,350,497,312,"5,673","2,169","11,756","14,342","14,186","13,009","15,144","15,681","19,465","16,871","4,900","12,327","12,441",,,
피지,oceania,"3,386","8,143","6,992","8,380","9,132","8,775","11,257","9,984","7,421","4,904","6,327","5,101","4,404","4,225","5,676","6,700","8,071","8,871","8,176","6,262"
